 Fecha ,Producto,Vendedor,Ciudad,Cantidad,MONTO
24/12/2025,Cable UTP Cat6,Marta Ruiz,Bucaramanga,8,$ 356.841
21/05/2025,Repetidor mesh,Luis Gomez,Medellin,7,$ 135.697
15/01/2026,Switch 24p,Marta Ruiz,Medellin,8,$ 116.178
08/09/2025,Switch 24p,Luis Gomez,Cali,6,$ 94.114
03/10/2025,Router WiFi 6,Luis Gomez,Medellin,7,$ 82.728
13/01/2026,Router WiFi 6,Carlos Pena,Barranquilla,2,$ 582.719
27/02/2025,Repetidor mesh,Ana Torres,Bucaramanga,1,$ 243.593
02/06/2026,Cable UTP Cat6,Carlos Pena,Bogota,8,$ 89.227
25/11/2025,Router WiFi 6,Luis Gomez,Cali,8,$ 129.668
04/08/2025,Switch 24p,Luis Gomez,Medellin,1,$ 647.181
23/01/2025,ONT Fibra,Ana Torres,Medellin,5,$ 289.079
09/03/2026,ONT Fibra,Carlos Pena,Cali,1,$ 537.287
22/01/2025,Switch 24p,Marta Ruiz,Barranquilla,1,$ 200.071
26/07/2026,Cable UTP Cat6,Carlos Pena,Medellin,4,$ 1.170.596
03/03/2026,Switch 24p,Ana Torres,Cali,7,$ 318.821
22/04/2026,ONT Fibra,CARLOS PENA,Medellin,7,$ 610.726
27/05/2025,ONT Fibra,MARTA RUIZ,Medellin,1,$ 390.200
14/05/2026,Antena sectorial,Ana Torres,Barranquilla,7,$ 1.689.255
18/05/2026,Cable UTP Cat6,Luis Gomez,Cali,4,$ 363.879
26/06/2026,Antena sectorial,Carlos Pena,Barranquilla,1,$ 530.164
29/08/2025,ONT Fibra,Marta Ruiz,Bogota,2,-50.000
19/04/2025,Repetidor mesh,Carlos Pena,Barranquilla,1,$ 171.807
12/05/2026,Switch 24p,Luis Gomez,Medellin,1,$ 108.169
05/02/2025,Cable UTP Cat6,Ana Torres,Bogota,8,$ 186.725
16/02/2026,Switch 24p,Luis Gomez,Cali,3,$ 648.051
18/02/2026,Cable UTP Cat6,Ana Torres,Cali,4,$ 552.643
01/03/2025,Cable UTP Cat6,Carlos Pena,Medellin,7,$ 279.621
07/02/2025,Repetidor mesh,Marta Ruiz,Bogota,2,$ 123.029
02/03/2025,Router WiFi 6,Marta Ruiz,Barranquilla,5,$ 132.849
12/11/2025,Cable UTP Cat6,Marta Ruiz,Barranquilla,1,$ 466.078
16/05/2026,Cable UTP Cat6,Carlos Pena,Medellin,3,$ 230.492
28/08/2025,Repetidor mesh,Luis Gomez,Bucaramanga,6,$ 396.258
31/01/2026,Router WiFi 6,Luis Gomez,Bogota,5,$ 395.903
14/05/2025,Router WiFi 6,Carlos Pena,Cali,1,$ 573.308
13/03/2026,Antena sectorial,Luis Gomez,Bucaramanga,3,$ 187.573
26/09/2025,Router WiFi 6,Luis Gomez,Bogota,4,$ 190.260
01/05/2026,Switch 24p,Marta Ruiz,Bogota,2,$ 874.955
04/05/2026,Router WiFi 6,Carlos Pena,Barranquilla,4,$ 194.692
18/06/2025,Router WiFi 6,Luis Gomez,Cali,7,$ 62.405
12/06/2025,Router WiFi 6,Carlos Pena,Medellin,2,$ 109.259
23/02/2026,ONT Fibra,Carlos Pena,Medellin,2,$ 245.921
11/03/2025,Antena sectorial,Luis Gomez,Cali,4,$ 66.922
07/02/2026,Repetidor mesh,Marta Ruiz,Medellin,1,$ 106.951
29/03/2026,Repetidor mesh,Ana Torres,Medellin,4,$ 127.459
16/03/2026,Router WiFi 6,Marta Ruiz,Medellin,7,$ 452.385
03/07/2025,Router WiFi 6,Carlos Pena,Medellin,1,$ 325.894
28/05/2025,Repetidor mesh,Carlos Pena,Bucaramanga,5,$ 267.348
11/01/2025,Antena sectorial,Carlos Pena,Bucaramanga,7,$ 429.881
04/11/2025,Antena sectorial,Carlos Pena,Cali,3,$ 176.996
24/09/2025,ONT Fibra,Carlos Pena,Bucaramanga,1,$ 296.402
09/11/2025,Antena sectorial,Carlos Pena,Bogota,8,$ 111.623
17/02/2025,ONT Fibra,Ana Torres,Medellin,1,$ 262.450
20/12/2025,Antena sectorial,Luis Gomez,Medellin,7,$ 430.894
08/06/2026,Router WiFi 6,Luis Gomez,Medellin,2,$ 234.756
01/11/2025,ONT Fibra,Luis Gomez,Cali,8,$ 336.536
24/01/2025,Repetidor mesh,Marta Ruiz,Cali,1,$ 95.225
22/02/2025,Router WiFi 6,Carlos Pena,Bogota,3,$ 283.517
08/06/2025,ONT Fibra,Ana Torres,Medellin,2,$ 422.283
18/06/2026,Switch 24p,Luis Gomez,Barranquilla,3,$ 239.512
28/06/2025,ONT Fibra,Luis Gomez,Medellin,8,$ 384.292
09/07/2025,Cable UTP Cat6,Carlos Pena,Medellin,2,$ 313.953
14/03/2025,Switch 24p,Ana Torres,Bogota,5,$ 1.660.853
20/05/2026,Repetidor mesh,Carlos Pena,Medellin,2,$ 410.778
07/03/2025,Cable UTP Cat6,Marta Ruiz,Cali,3,$ 238.053
08/07/2026,Antena sectorial,Carlos Pena,Bogota,8,$ 2.697.666
18/07/2025,ONT Fibra,Marta Ruiz,Medellin,4,$ 657.068
19/05/2026,ONT Fibra,Luis Gomez,Medellin,6,$ 308.080
18/05/2025,Antena sectorial,Ana Torres,Bogota,6,$ 610.208
31/02/2025,Router WiFi 6,Marta Ruiz,Cali,3,$ 208.615
18/08/2026,Switch 24p,Marta Ruiz,Medellin,2,$ 436.823
31/02/2025,Antena sectorial,Ana Torres,Bogota,3,$ 361.434
02/03/2026,Switch 24p,Ana Torres,Bogota,4,$ 321.634
12/07/2026,Antena sectorial,Luis Gomez,Medellin,2,$ 165.966
06/03/2025,Router WiFi 6,Carlos Pena,Bucaramanga,6,$ 506.897
29/04/2026,Router WiFi 6,Marta Ruiz,Medellin,5,$ 67.193
02/09/2025,Router WiFi 6,Luis Gomez,Barranquilla,3,$ 527.387
23/06/2025,Cable UTP Cat6,Luis Gomez,Medellin,5,$ 160.979
29/06/2025,Antena sectorial,Marta Ruiz,Bogota,5,$ 149.579
27/12/2025,ONT Fibra,Ana Torres,Bogota,3,$ 225.776
28/12/2025,Router WiFi 6,Marta Ruiz,Medellin,3,$ 75.648
18/09/2025,Switch 24p,Ana Torres,Medellin,1,$ 769.443
17/02/2026,Cable UTP Cat6,Carlos Pena,Medellin,8,$ 46.357
25/08/2025,Switch 24p,Marta Ruiz,Cali,2,$ 177.385
17/11/2025,Antena sectorial,Luis Gomez,Cali,6,$ 88.750
08/03/2026,ONT Fibra,Marta Ruiz,Medellin,6,$ 808.034
27/09/2025,Repetidor mesh,Carlos Pena,Medellin,6,$ 390.851
27/04/2026,Antena sectorial,Luis Gomez,Bogota,3,$ 296.236
03/03/2025,Antena sectorial,Ana Torres,Cali,2,$ 303.840
03/04/2026,ONT Fibra,Ana Torres,Bogota,8,$ 192.531
04/07/2026,Router WiFi 6,Carlos Pena,Bucaramanga,1,$ 419.351
13/03/2025,Cable UTP Cat6,Luis Gomez,Medellin,8,$ 156.934
10/06/2025,Router WiFi 6,Ana Torres,Medellin,8,$ 113.875
19/07/2025,ONT Fibra,Luis Gomez,Medellin,8,$ 545.758
16/12/2025,Repetidor mesh,Luis Gomez,Medellin,8,$ 204.366
05/07/2026,ONT Fibra,Ana Torres,Bogota,8,$ 242.024
27/11/2025,Repetidor mesh,Luis Gomez,Medellin,3,$ 171.744
15/05/2025,Switch 24p,Luis Gomez,Medellin,5,-50.000
10/06/2026,Cable UTP Cat6,Ana Torres,Bogota,4,$ 81.530
12/06/2025,Switch 24p,Luis Gomez,Cali,6,$ 320.615
29/10/2025,Repetidor mesh,Marta Ruiz,Medellin,7,$ 197.815
01/10/2025,Router WiFi 6,Marta Ruiz,Barranquilla,2,$ 170.847
16/01/2025,Switch 24p,Carlos Pena,Cali,6,$ 211.796
11/04/2025,Switch 24p,Ana Torres,Medellin,1,$ 120.158
27/02/2025,Antena sectorial,Marta Ruiz,Medellin,2,$ 221.819
29/03/2025,Cable UTP Cat6,Ana Torres,Bogota,5,$ 63.033
24/03/2025,ONT Fibra,Luis Gomez,Barranquilla,5,$ 643.011
08/08/2025,Cable UTP Cat6,Marta Ruiz,Medellin,7,$ 212.668
04/10/2025,Repetidor mesh,Carlos Pena,Cali,8,$ 538.637
01/05/2025,Switch 24p,Luis Gomez,Bogota,2,$ 127.231
28/06/2026,Router WiFi 6,Ana Torres,Medellin,2,$ 321.239
06/10/2025,Cable UTP Cat6,Luis Gomez,Medellin,3,$ 275.820
02/02/2026,ONT Fibra,Marta Ruiz,Barranquilla,3,$ 349.807
26/07/2026,Router WiFi 6,Luis Gomez,Medellin,1,$ 466.117
12/05/2025,Switch 24p,Marta Ruiz,Medellin,2,$ 657.925
17/03/2025,Cable UTP Cat6,Carlos Pena,Medellin,8,$ 270.719
25/05/2025,Antena sectorial,Luis Gomez,Bogota,4,$ 602.389
16/10/2025,Repetidor mesh,Ana Torres,Bogota,8,$ 237.462
13/07/2026,Cable UTP Cat6,Carlos Pena,Medellin,5,$ 384.232
28/03/2025,ONT Fibra,Ana Torres,Cali,6,$ 133.058
18/09/2025,Router WiFi 6,Carlos Pena,Medellin,6,$ 239.105
01/02/2025,Cable UTP Cat6,Ana Torres,Bucaramanga,4,$ 316.050
17/04/2025,Repetidor mesh,Ana Torres,Barranquilla,1,$ 251.096
08/01/2025,Repetidor mesh,Luis Gomez,Cali,7,$ 141.239
14/07/2025,ONT Fibra,Luis Gomez,Cali,2,$ 1.037.721
09/01/2026,Repetidor mesh,Luis Gomez,Cali,2,$ 509.451
03/02/2025,Cable UTP Cat6,Luis Gomez,Bogota,4,$ 94.560
16/07/2025,ONT Fibra,Ana Torres,Bucaramanga,7,$ 84.482
06/01/2025,Switch 24p,Luis Gomez,Barranquilla,4,$ 152.241
02/05/2025,Cable UTP Cat6,Luis Gomez,Cali,5,$ 216.693
17/09/2025,Antena sectorial,Ana Torres,Medellin,4,$ 756.538
18/12/2025,Antena sectorial,Luis Gomez,Medellin,2,$ 163.189
15/07/2025,ONT Fibra,Ana Torres,Medellin,7,$ 217.450
15/06/2025,Repetidor mesh,Carlos Pena,Medellin,4,$ 344.927
25/07/2025,Cable UTP Cat6,Luis Gomez,Bogota,5,$ 214.668
28/09/2025,Cable UTP Cat6,Carlos Pena,Bogota,7,$ 460.003
21/12/2025,ONT Fibra,Marta Ruiz,Cali,5,$ 207.174
03/12/2025,Repetidor mesh,Marta Ruiz,Barranquilla,4,$ 114.496
24/07/2026,Antena sectorial,Ana Torres,Medellin,3,$ 164.266
18/08/2025,Router WiFi 6,Luis Gomez,Barranquilla,7,$ 1.052.951
23/04/2025,Antena sectorial,Marta Ruiz,Bogota,5,$ 269.800
19/11/2025,Cable UTP Cat6,Ana Torres,Barranquilla,8,$ 276.683
23/08/2025,Switch 24p,Ana Torres,Medellin,3,$ 1.020.641
04/01/2026,Cable UTP Cat6,Luis Gomez,Medellin,6,$ 145.861
29/01/2026,Antena sectorial,Ana Torres,Bucaramanga,7,$ 216.307
25/02/2025,Switch 24p,Ana Torres,Bogota,2,$ 253.276
18/03/2025,Repetidor mesh,Luis Gomez,Medellin,5,$ 264.889
14/05/2025,Router WiFi 6,Carlos Pena,Cali,1,$ 573.308
09/04/2025,Router WiFi 6,Marta Ruiz,Medellin,4,$ 172.672
17/06/2025,ONT Fibra,Ana Torres,Medellin,1,$ 319.738
14/04/2026,Router WiFi 6,Ana Torres,Cali,5,$ 316.620
28/10/2025,Cable UTP Cat6,Luis Gomez,Barranquilla,4,$ 293.553
13/03/2025,Repetidor mesh,Carlos Pena,Cali,2,$ 348.690
04/02/2025,Router WiFi 6,Carlos Pena,Medellin,1,$ 575.082
07/01/2025,Repetidor mesh,Luis Gomez,Medellin,2,
31/08/2025,Router WiFi 6,Luis Gomez,Medellin,7,$ 317.334
27/03/2025,Switch 24p,Ana Torres,Bogota,7,$ 69.454
06/06/2026,Repetidor mesh,Luis Gomez,Medellin,7,$ 678.596
07/08/2025,Antena sectorial,Marta Ruiz,Medellin,3,$ 263.848
18/05/2026,ONT Fibra,Ana Torres,Bogota,7,$ 367.265
13/05/2025,ONT Fibra,Carlos Pena,Cali,1,$ 478.852
23/07/2025,Switch 24p,Carlos Pena,Cali,2,$ 502.556
13/07/2026,Cable UTP Cat6,Carlos Pena,Medellin,5,$ 384.232
02/04/2026,ONT Fibra,Ana Torres,Barranquilla,8,$ 545.405
24/06/2026,ONT Fibra,Luis Gomez,Bogota,5,$ 535.891
23/04/2026,Antena sectorial,Ana Torres,Bucaramanga,3,$ 524.479
05/04/2025,Cable UTP Cat6,Carlos Pena,Medellin,6,$ 254.351
08/10/2025,ONT Fibra,Ana Torres,Medellin,5,$ 302.155
31/02/2025,Switch 24p,Carlos Pena,Barranquilla,4,$ 399.980
19/03/2025,Repetidor mesh,Carlos Pena,Barranquilla,4,$ 456.887
14/08/2025,Cable UTP Cat6,Luis Gomez,Cali,6,$ 425.530
15/01/2025,ONT Fibra,Ana Torres,Cali,3,$ 108.884
04/06/2025,Cable UTP Cat6,Ana Torres,Medellin,1,$ 197.018
03/04/2025,Switch 24p,Marta Ruiz,Medellin,3,$ 796.243
22/04/2026,Cable UTP Cat6,Ana Torres,Cali,4,$ 327.370
15/09/2025,Router WiFi 6,Carlos Pena,Medellin,7,$ 143.563
07/12/2025,Repetidor mesh,Luis Gomez,Medellin,2,$ 184.795
04/07/2026,Router WiFi 6,Luis Gomez,Medellin,5,$ 228.288
30/08/2025,Cable UTP Cat6,Luis Gomez,Medellin,8,$ 327.707
09/12/2025,ONT Fibra,Carlos Pena,Bogota,8,$ 347.121
11/04/2025,Antena sectorial,Luis Gomez,Bogota,6,$ 804.540
09/07/2026,Antena sectorial,Ana Torres,Bogota,8,$ 184.187
02/12/2025,Switch 24p,CARLOS PENA,Cali,6,$ 157.773
10/08/2025,Router WiFi 6,Ana Torres,Medellin,1,$ 472.476
03/02/2026,Cable UTP Cat6,Marta Ruiz,Medellin,7,$ 565.766
21/04/2026,Antena sectorial,Ana Torres,Medellin,1,$ 82.733
04/02/2026,Repetidor mesh,Ana Torres,Barranquilla,2,$ 815.333
07/10/2025,Repetidor mesh,Ana Torres,Medellin,5,$ 147.971
11/12/2025,Antena sectorial,Luis Gomez,Bogota,7,$ 153.311
02/07/2025,Cable UTP Cat6,Marta Ruiz,Bucaramanga,4,$ 295.457
01/08/2025,Repetidor mesh,Marta Ruiz,Medellin,3,$ 281.936
30/07/2026,Router WiFi 6,Carlos Pena,Bucaramanga,4,$ 351.669
04/02/2026,Antena sectorial,Luis Gomez,Cali,3,$ 491.995
15/03/2025,Cable UTP Cat6,Luis Gomez,Medellin,7,$ 193.313
23/04/2025,Repetidor mesh,Carlos Pena,Bogota,4,$ 105.973
22/02/2026,Repetidor mesh,Ana Torres,Cali,4,$ 664.743
28/07/2026,Antena sectorial,Carlos Pena,Bogota,8,$ 275.995
13/03/2026,Antena sectorial,Carlos Pena,Bogota,8,$ 195.904
31/03/2025,Cable UTP Cat6,Carlos Pena,Medellin,3,$ 84.036
30/03/2025,Antena sectorial,Carlos Pena,Bucaramanga,7,$ 587.226
17/05/2025,Cable UTP Cat6,Ana Torres,Bogota,4,$ 995.271
21/09/2025,Switch 24p,Marta Ruiz,Bogota,2,$ 264.921
11/11/2025,Cable UTP Cat6,Marta Ruiz,Medellin,7,$ 150.254
15/03/2026,Switch 24p,Carlos Pena,Medellin,1,$ 219.664
08/10/2025,ONT Fibra,Marta Ruiz,Medellin,2,$ 2.309.747
28/01/2026,Repetidor mesh,Ana Torres,Bogota,8,$ 141.397
25/07/2025,Cable UTP Cat6,Carlos Pena,Bogota,6,$ 205.971
06/08/2025,ONT Fibra,Carlos Pena,Bogota,3,$ 514.227
15/06/2026,Cable UTP Cat6,Luis Gomez,Bucaramanga,5,$ 122.860
27/03/2026,Router WiFi 6,Carlos Pena,Medellin,7,$ 200.911
30/01/2025,Repetidor mesh,Luis Gomez,Bogota,8,$ 276.863
24/08/2026,Cable UTP Cat6,Ana Torres,Medellin,2,$ 458.863
22/10/2025,Router WiFi 6,Ana Torres,Medellin,7,$ 672.738
25/01/2025,Repetidor mesh,Luis Gomez,Bogota,6,$ 209.749
24/05/2026,Switch 24p,Carlos Pena,Bogota,3,$ 321.240
16/02/2025,Repetidor mesh,Marta Ruiz,Medellin,2,$ 196.832
26/12/2025,Repetidor mesh,Carlos Pena,Medellin,1,$ 376.756
20/01/2026,Repetidor mesh,Carlos Pena,Medellin,8,$ 54.273
17/01/2026,ONT Fibra,Marta Ruiz,Bogota,7,$ 431.622
20/03/2025,Repetidor mesh,Luis Gomez,Medellin,8,$ 142.540
17/01/2026,Router WiFi 6,Luis Gomez,Bucaramanga,3,$ 772.072
12/04/2026,Router WiFi 6,Luis Gomez,Barranquilla,3,$ 346.715
02/04/2025,Cable UTP Cat6,Marta Ruiz,Bogota,6,$ 343.957
09/03/2025,Router WiFi 6,Marta Ruiz,Bogota,3,$ 476.306
05/11/2025,Antena sectorial,ANA TORRES,Cali,2,$ 339.224
11/06/2025,Repetidor mesh,Ana Torres,Cali,3,$ 302.867
30/08/2025,Antena sectorial,Luis Gomez,Medellin,4,$ 394.467
15/02/2026,ONT Fibra,Carlos Pena,Bogota,8,$ 233.932
11/05/2025,Repetidor mesh,Carlos Pena,Bogota,4,$ 112.962
19/08/2026,Antena sectorial,Carlos Pena,Cali,6,$ 361.548
27/06/2025,ONT Fibra,Luis Gomez,Medellin,8,$ 597.630
26/02/2026,ONT Fibra,Luis Gomez,Medellin,7,$ 327.440
13/01/2026,Router WiFi 6,Ana Torres,Cali,4,$ 499.301
12/08/2025,Router WiFi 6,Luis Gomez,Medellin,1,$ 275.725
23/05/2025,Switch 24p,Marta Ruiz,Medellin,8,$ 149.774
10/11/2025,Antena sectorial,Marta Ruiz,Medellin,1,$ 154.898
26/08/2025,ONT Fibra,Ana Torres,Medellin,1,$ 230.920
30/10/2025,Router WiFi 6,Ana Torres,Barranquilla,2,$ 310.218
20/04/2025,ONT Fibra,Ana Torres,Barranquilla,5,$ 190.341
10/04/2026,ONT Fibra,Ana Torres,Bogota,1,$ 283.608
30/12/2025,ONT Fibra,Marta Ruiz,Medellin,4,$ 318.936
10/03/2025,Cable UTP Cat6,Marta Ruiz,Barranquilla,3,$ 399.128
24/11/2025,ONT Fibra,Luis Gomez,Bogota,2,$ 165.127
20/02/2026,ONT Fibra,Marta Ruiz,Bogota,3,$ 862.242
21/06/2026,ONT Fibra,Luis Gomez,Medellin,4,$ 508.437
08/05/2025,Repetidor mesh,Luis Gomez,Cali,6,$ 768.517
23/08/2026,ONT Fibra,Carlos Pena,Bogota,3,$ 179.305
27/07/2026,Router WiFi 6,Luis Gomez,Bucaramanga,3,$ 942.965
02/06/2025,Antena sectorial,Marta Ruiz,Barranquilla,2,$ 307.883
14/01/2025,ONT Fibra,Ana Torres,Medellin,1,$ 291.703
27/04/2025,Router WiFi 6,Luis Gomez,Medellin,3,$ 179.833
24/03/2026,ONT Fibra,Carlos Pena,Cali,1,$ 1.180.005
22/09/2025,ONT Fibra,Ana Torres,Medellin,6,$ 128.940
22/03/2025,Antena sectorial,Marta Ruiz,Medellin,4,$ 140.489
23/01/2026,Switch 24p,Luis Gomez,Medellin,4,$ 943.360
24/04/2026,ONT Fibra,Ana Torres,Bucaramanga,4,$ 293.423
17/01/2025,ONT Fibra,Marta Ruiz,Bucaramanga,7,$ 113.574
17/03/2025,Switch 24p,Luis Gomez,Barranquilla,6,$ 447.096
02/10/2025,ONT Fibra,Luis Gomez,Bucaramanga,8,$ 628.466
07/11/2025,Cable UTP Cat6,Marta Ruiz,Cali,5,$ 155.405
10/06/2025,Router WiFi 6,Marta Ruiz,Medellin,3,$ 630.163
21/01/2026,Repetidor mesh,Marta Ruiz,Bogota,8,$ 118.501
08/06/2025,Router WiFi 6,Ana Torres,Cali,8,$ 417.298
06/06/2025,Repetidor mesh,Luis Gomez,Medellin,2,$ 166.097
03/01/2026,Repetidor mesh,Marta Ruiz,Bogota,1,$ 385.367
24/08/2025,Cable UTP Cat6,Ana Torres,Bogota,7,$ 166.159
16/11/2025,Antena sectorial,Luis Gomez,Medellin,6,$ 169.561
26/08/2025,Cable UTP Cat6,MARTA RUIZ,Bucaramanga,5,$ 419.784
07/01/2026,ONT Fibra,Carlos Pena,Cali,6,$ 545.449
22/08/2025,Cable UTP Cat6,Carlos Pena,Barranquilla,8,$ 347.153
06/02/2026,Repetidor mesh,Ana Torres,Medellin,4,$ 172.380
28/10/2025,Antena sectorial,Luis Gomez,Medellin,3,
20/04/2026,Antena sectorial,Carlos Pena,Cali,5,$ 578.196
31/02/2025,Router WiFi 6,Ana Torres,Barranquilla,8,$ 238.142
23/03/2025,Cable UTP Cat6,Marta Ruiz,Bogota,8,$ 376.624
19/02/2025,Router WiFi 6,Marta Ruiz,Bogota,8,$ 112.809
16/08/2025,Repetidor mesh,Carlos Pena,Barranquilla,1,$ 875.507
28/07/2026,Repetidor mesh,Marta Ruiz,Medellin,2,$ 799.342
18/07/2026,Repetidor mesh,Ana Torres,Barranquilla,4,$ 439.955
23/10/2025,Switch 24p,Carlos Pena,Medellin,1,$ 348.102
29/01/2025,Router WiFi 6,Luis Gomez,Bogota,4,$ 583.955
05/03/2026,Repetidor mesh,Marta Ruiz,Bucaramanga,4,$ 119.355
24/10/2025,Antena sectorial,Luis Gomez,Bogota,5,$ 213.307
16/03/2025,Repetidor mesh,Carlos Pena,Bogota,3,$ 360.212
24/12/2025,Router WiFi 6,Luis Gomez,Cali,6,$ 426.544
20/06/2025,Router WiFi 6,Luis Gomez,Bogota,5,$ 218.720
18/04/2026,Cable UTP Cat6,Luis Gomez,Barranquilla,8,$ 258.106
20/07/2026,ONT Fibra,Carlos Pena,Medellin,4,$ 278.255
18/10/2025,Cable UTP Cat6,Marta Ruiz,Bogota,7,$ 231.620
27/05/2025,Repetidor mesh,Luis Gomez,Medellin,7,$ 332.232
19/03/2026,Cable UTP Cat6,Marta Ruiz,Barranquilla,7,$ 231.969
11/02/2025,Cable UTP Cat6,Luis Gomez,Medellin,3,$ 288.271
21/05/2026,Router WiFi 6,Luis Gomez,Cali,6,$ 360.267
24/01/2026,Switch 24p,Luis Gomez,Medellin,8,$ 275.115
27/04/2025,Repetidor mesh,Ana Torres,Medellin,8,$ 333.445
17/07/2025,Repetidor mesh,Carlos Pena,Cali,3,$ 1.070.930
05/05/2025,Router WiFi 6,Marta Ruiz,Medellin,1,
09/02/2025,Repetidor mesh,Marta Ruiz,Barranquilla,4,$ 466.456
06/06/2026,Router WiFi 6,Luis Gomez,Bogota,6,$ 118.670
22/06/2026,ONT Fibra,Carlos Pena,Bucaramanga,1,$ 421.281
06/04/2026,ONT Fibra,Luis Gomez,Medellin,3,$ 368.233
15/04/2025,ONT Fibra,Carlos Pena,Bogota,5,$ 245.745
11/08/2026,Router WiFi 6,Luis Gomez,Medellin,4,$ 481.280
06/06/2025,Cable UTP Cat6,Luis Gomez,Medellin,4,$ 374.080
25/04/2026,Antena sectorial,Marta Ruiz,Medellin,2,$ 106.701
31/02/2025,Repetidor mesh,Carlos Pena,Medellin,1,$ 363.180
04/03/2026,ONT Fibra,Carlos Pena,Bogota,6,$ 810.638
16/06/2026,Cable UTP Cat6,Ana Torres,Bucaramanga,3,$ 194.824
09/05/2025,ONT Fibra,Carlos Pena,Bogota,3,$ 424.010
10/07/2026,Switch 24p,Marta Ruiz,Bogota,5,$ 209.013
02/05/2026,Switch 24p,Carlos Pena,Medellin,7,$ 1.678.755
07/05/2025,ONT Fibra,Marta Ruiz,Bucaramanga,4,$ 323.237
02/02/2025,Router WiFi 6,Marta Ruiz,Medellin,7,$ 319.237
22/03/2026,Switch 24p,Carlos Pena,Medellin,6,$ 1.671.556
09/04/2025,ONT Fibra,Luis Gomez,Bogota,1,$ 301.148
27/02/2026,ONT Fibra,Marta Ruiz,Cali,8,$ 428.478
06/05/2026,Cable UTP Cat6,Carlos Pena,Medellin,3,$ 404.431
03/08/2025,Repetidor mesh,Ana Torres,Bogota,6,$ 279.205
06/08/2025,Repetidor mesh,Marta Ruiz,Bogota,1,$ 1.046.863
09/06/2026,Switch 24p,Ana Torres,Medellin,7,$ 194.078
30/04/2026,Antena sectorial,Luis Gomez,Cali,7,$ 946.458
19/09/2025,ONT Fibra,Carlos Pena,Cali,5,$ 502.035
07/08/2026,Cable UTP Cat6,Luis Gomez,Medellin,3,$ 503.738
11/08/2025,Router WiFi 6,Marta Ruiz,Cali,3,$ 1.516.679
06/08/2026,Router WiFi 6,Marta Ruiz,Medellin,2,$ 431.002
14/04/2025,Cable UTP Cat6,Luis Gomez,Medellin,3,$ 186.445
06/01/2026,Switch 24p,Ana Torres,Barranquilla,6,$ 323.935
18/02/2025,Cable UTP Cat6,Luis Gomez,Bogota,8,$ 718.297
06/12/2025,Cable UTP Cat6,Marta Ruiz,Medellin,1,$ 262.513
13/03/2026,Antena sectorial,Luis Gomez,Bucaramanga,3,$ 187.573
01/12/2025,Repetidor mesh,Ana Torres,Bogota,4,$ 772.437
01/09/2025,ONT Fibra,Marta Ruiz,Bogota,6,$ 493.199
05/06/2026,ONT Fibra,Carlos Pena,Bogota,3,$ 1.099.893
10/08/2025,Repetidor mesh,Luis Gomez,Bogota,1,$ 158.656
26/10/2025,ONT Fibra,Ana Torres,Cali,6,$ 235.701
18/12/2025,Antena sectorial,Marta Ruiz,Medellin,3,$ 562.443
14/11/2025,Router WiFi 6,Marta Ruiz,Medellin,7,$ 543.618
05/08/2026,Router WiFi 6,Ana Torres,Bogota,2,$ 401.501
11/02/2026,Antena sectorial,Luis Gomez,Bogota,7,$ 233.682
